Id,SalePrice
1461,124332.66054336549
1462,161731.26929896223
1463,188688.85613516395
1464,198575.76253269817
1465,188064.708539413
1466,173914.43983770005
1467,178722.37118001893
1468,166672.09945609386
1469,185799.95646663397
1470,122830.44607917126
1471,187735.10575532098
1472,95761.9270926325
1473,96884.97742622888
1474,147259.72989103032
1475,111871.57139457992
1476,376657.0525867507
1477,260245.38997593443
1478,289371.46613362693
1479,261377.60716826777
1480,506945.03383994906
1481,346606.0004719101
1482,209939.88684224497
1483,178343.22454340413
1484,166022.48330023285
1485,187715.30125198787
1486,195207.23917075078
1487,346749.3644836877
1488,235149.79847243385
1489,203754.35368419896
1490,240202.05383099275
1491,192185.78173735848
1492,94025.61291609754
1493,182715.37222598074
1494,297204.25690120645
1495,287502.6164689892
1496,238640.66786887517
1497,178401.2893722818
1498,168899.34727040806
1499,160877.16528854362
1500,159099.8004978371
1501,179020.46838547563
1502,146865.10514919748
1503,303090.1399796519
1504,243899.28253794942
1505,226949.44342913653
1506,188958.14764028083
1507,255479.44529636798
1508,200820.11443518172
1509,161721.30844528726
1510,147380.18525414856
1511,150709.586579305
1512,176595.7753718521
1513,147664.10327434313
1514,169151.06330210564
1515,189940.4968082911
1516,147311.85788151727
1517,165200.20518184188
1518,129619.89897975602
1519,223161.44502292245
1520,135126.8631171231
1521,136567.29429554456
1522,170960.6046550014
1523,116490.21940271257
1524,127696.65630111743
1525,121838.23957478403
1526,117259.9936399851
1527,102600.75159183248
1528,134167.08718295637
1529,156092.40482501415
1530,182552.45035243416
1531,105026.3791996383
1532,96048.59300505796
1533,148724.47927767452
1534,123801.15478230274
1535,148542.65450149257
1536,111458.67377754975
1537,61766.99985586666
1538,153695.85872685208
1539,192884.28851852188
1540,90904.3148150462
1541,143435.43051760294
1542,143801.0038230774
1543,209128.14596537684
1544,85435.0332970154
1545,115818.03464104202
1546,135605.5012532021
1547,135218.1891717326
1548,139745.01859439415
1549,119227.08229696231
1550,137587.362392808
1551,104541.93626512923
1552,143793.8520997874
1553,155365.15827765045
1554,116845.51973030144
1555,167329.80960384864
1556,83190.51087112607
1557,111553.26510388097
1558,99737.90715126468
1559,61748.667446031366
1560,129762.5935427201
1561,143531.54063207633
1562,129380.5022498543
1563,122412.91930505149
1564,156079.6162291603
1565,149880.82236644247
1566,243160.15466197097
1567,74217.46993297264
1568,230994.09829052637
1569,138498.41517030183
1570,138721.30165780842
1571,113349.69861682437
1572,143536.34903804987
1573,233198.98546357092
1574,114980.90282125898
1575,223333.75105315426
1576,250689.37348906425
1577,189075.51070045083
1578,143470.82325328383
1579,146889.2706674674
1580,191729.5399405919
1581,153802.90874896978
1582,131152.40201092573
1583,325335.0336329593
1584,226873.5784657543
1585,140719.4140126886
1586,66712.24331613393
1587,104602.24472350767
1588,155172.8375531136
1589,100063.95901809343
1590,133610.7853356913
1591,95683.35308309298
1592,118188.28746250771
1593,126576.05263666167
1594,139988.83942788918
1595,110941.79340059402
1596,240941.7524322343
1597,186011.07674451472
1598,211240.22432442708
1599,165394.3676192501
1600,160973.87622351016
1601,58745.673327155884
1602,117520.0769971763
1603,70983.679295231
1604,268373.62219209794
1605,242140.55798024824
1606,173134.73745001145
1607,166553.30582040752
1608,216329.79955896887
1609,187556.54398801702
1610,157281.6179432568
1611,138022.60099003054
1612,171259.12335205
1613,171692.98402757067
1614,128288.7799238677
1615,89908.54114417013
1616,75048.844829013
